delegate,voting_power
0x3eee61b92c36e97be6319bf9096a1ac3c04a1466,11090462.93720866
0x1f4ba000d042ca0045ef094691615f3912debea8,7357844.049695037
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,5386729.260566611
0x06ad892ce23c136bbda3a821570343a2af3e2914,5272352.377651619
0xf11b6a8c3cb8bb7dbc1518a613b10ceb0bbfc06b,5201764.779422497
0xeff8d84e0fd304550da242040ccd45bd44ce71f1,5008398.683235306
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,3125517.553710611
0x429f9ada43e9f345cbb85ec88681bb70df808892,2993562.085922133
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2944717.169323766
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,2419916.6392231886
0x4f41877773e44f2275da1942fee898556821bf66,1781628.5951935807
0x7b0befc5b043148cd7bd5cfeeef7bc63d28edec0,1477512.3989795994
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,1387645.1115100118
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,1360291.319080011
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1346956.7349498128
0x406b607644c5d7bfda95963201e45a4c6ab1c159,1308257.2914388704
0x94db037207f6fb697dbd33524aadffd108819dc8,1240753.3518283016
0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,1196518.703383822
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1150026.5427377801
0xb55a948763e0d386b6defcd8070a522216ae42b1,1096137.9135515853
0x5c459147312928bd278837ed72a0c31cca0a5244,1071437.5282228605
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,1070784.6410952222
0xb79294d00848a3a4c00c22d9367f19b4280689d7,1068807.7943004854
0x20c01bb48784d1973138b6ddb46308c81b6cbe70,1034137.2795847747
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,1032886.9290573227
0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4,1030574.6039449665
0x8ccde64d05a7677d80a5960cb75fb8de486cf98d,1025644.5263527535
0x80fc5137886375e7e5c9fbaaf3f1bfcf86bce482,1024197.5362898207
0x6923e759519ede7e352b1e206519c28046f0a69f,1023105.2068729248
0x2ac5393d1f4be4ef89b45ee2f93d7f20a5cf6d5a,1021477.6369095708
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,1017901.6962138045
0x11cf2f033b079fbb195425bfcb7d5dac4db2d752,1012182.9917318375
0x7575f04a46b6d76142723e765f7546c354773406,1004643.5163598458
0x2deb7c0704f9696c976ed73d449badefab67c399,1001722.7837804534
0x2b7839e74e8a9145e594810508006b3e856088f8,1001557.9392720149
0x395136a88f087a2a013e6621ccfc551e5b9aa552,1001157.49300499
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,992554.1010731225
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,894760.2135804758
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,842216.9820255396
0xdab0d648a2a771e6952916a822dddf738b535f5a,702285.5240739317
0x2d7d6ec6198adfd5850d00bd601958f6e316b05e,696133.8864587288
0xa6e8772af29b29b9202a073f8e36f447689beef6,670426.679291946
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,662874.6617686637
0x8f73be66ca8c79382f72139be03746343bf5faa0,631962.1254445498
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,534946.2405442871
0x08760d6e86a9422b2e89f5974d953dab533f1f9b,476248.40999999986
0x585639fbf797c1258eba8875c080eb63c833d252,470403.6069536938
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,452852.03612556064
0x45a10f35befa4ab841c77860204b133118b7ccae,445458.0505475676
0x2c6c638b93ba5a11dbd419305f14749fc8aa2b63,367024.6237210023
0x6cea573473348367a5f66e0f261bfa25799e6a60,351113.06715155946
0x5d36a202687fd6bd0f670545334bf0b4827cc1e2,315337.2167711792
0xb933aee47c438f22de0747d57fc239fe37878dd1,281203.4761898859
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,275385.8923550698
0x7ae109a63ff4dc852e063a673b40bed85d22e585,260531.99537260548
0xdb5781a835b60110298ff7205d8ef9678ff1f800,258140.1843393628
0xdccf2c13052e57c6b0e30ddf676ad4b8996dc412,230225.3914491976
0xc2490d220419acdced68428ac413c8483d08d1ab,214014.68670512698
0xcc878369b26127bd4bc1b0b465bc8be9b92a4c62,209055.38198424136
0xc841d6ddf66467af551b35218c0c2e22f9c14b48,208325.11751448546
0x13debc7a8ef08a97531d0f9a7eabf2b0271c5054,204935.8880114881
0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,204436.9537563186
0x8f5415415d9200ccd8523f3ee88f96f476141cc3,203222.5530665087
0x5a973117dd273676bf4d14313b80562dc8973ba9,200003.2315994172
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,197374.0376216334
0x9dfa9dfd15d2b2fa9717b4fc545c2bb35a29215c,180200.57603273992
0xfc10a71b1e7974401d840fd15cebf08ed7e115cc,173609.85234225896
0xb7abf554aefd4686639afcf2a653adfda3d9b038,169888.2557638366
0xd23199f1222c418ffc74c385171330b21b16e452,166326.4372495943
0x7899d9b1181cbb427b0b1be0684c096c260f7474,160740.28509629297
0x72cb40a11781ff0149abb55a1adebe2407575030,154589.39934280395
0x13838884271ec954cb036d0b29d404afab5eae2a,149988.32408098617
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,147690.11165396118
0xe07e2e9f50a43b437d14fad498eb5e7e8f0de44f,147380.02116666667
0xb6b9e9e56ab5a4af927faa802ac93786352f3af9,145595.17170785982
0xb074ec6c37659525eef2fb44478077901f878012,142837.6507695138
0x5f4bcccb5c2cbb01c619f5cfed555466e31679b6,139552.48029308932
0x56edf679b0c80d528e17c5ffe514dc9a1b254b9c,138566.51578995024
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,134152.53760206746
0x03dde7b6c372bc6c748ae1af65497b74a70492fa,133596.73856419863
0x22e2f326fe5a1d07e1214eb1c08346fd816e8375,133485.84730757563
0xfd947c72f09703210eecbcab9c9206fe5e1bb6e2,132953.23738120403
0xd1c5980984bdbb0061b842fa81b3d38859850c39,131445.9421801135
0xc94ae9860b37170c08e51f453f8124a86cd7c0cd,127230.38069037712
0x9d31e30003f253563ff108bc60b16fdf2c93abb5,122361.79226025454
0x62a43123fe71f9764f26554b3f5017627996816a,118885.16635287949
0x4ac799e9b0e252bc45d499857c84809a5a444ae0,116401.89123550168
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,115216.0855249695
0x0331969e189d63fbc31d771bb04ab44227d748d8,114948.10091692975
0x17296956b4e07ff8931e4ff4ea06709fab70b879,104295.07691522254
0x9934465ee73beaf148b1b3ff232c8cd86c4c2c63,102573.92862132598
0x178d2181ce6bfa3fe5afde317b533d77410c23be,102257.06898374618
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,101951.75686715597
0xe48c655276c23f1534ae2a87a2bf8a8a6585df70,100838.65952479847
0xeef440ea127a0aabf70601c6c68c425c29d02018,100749.1037173589
0x3317ad9eda6942b5a7be5ba83346c0ea82c3c26c,98479.2702266768
0xc5557771673109cab9d05358e1d280fab5225977,97259.25978674782
0x010dc5440ad49f9ec0dd325b622d9fd225944ee4,93965.25762874563
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,91218.977594883
0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,89404.61086996544
0xe8d848debb3a3e12aa815b15900c8e020b863f31,79165.15483318342
0x062a07cbf4848fda67292a96a5e02c97e402233f,70060.10037568114
0xa6dd761301e576973291b4089a4e502ff67ffaf4,69961.73327974405
0xf51c53b2c184aa43a7d24aa4f0cf13d0e8b56c51,66333.45138009239
0x0f97258b5b506b210ba05f4c1f3c3cf84cc44496,65054.63673394741
0x9d7894ed2ddb65e0ca36fe872cbb57b8e9aaddac,64016.26977345647
0xedfefd63061b46b5b1044fad5421a9a72698edd6,60000.0
0xdf629daa1e3a099d4c87d7ba855e9561d2300032,59824.70554014653
0xf0ea58b65c82c48ce69f0abd68d178e7764c4ba2,58648.63834588902
0x054becf10c79afa4e60f75b187837be9fb83867d,58337.582502170306
0x5c04e7808455ee0e22c2773328c151d0dd79dc62,57519.80665092936
